(0.85196,0.149523)
(0.353021,-0.413533)
(0.37885,0.338639)
(0.835655,-0.256405)
(0.104981,-0.0855242)
(0.777713,0.247555)
(0.469246,-0.436547)
(0.271757,0.288615)
(0.884179,-0.144773)
(0.135127,-0.197905)
(0.680369,0.319751)
(0.58685,-0.429248)
(0.175487,0.209079)
(0.895052,-0.0134865)
(0.203282,-0.293706)
(0.561283,0.359393)
(0.695228,-0.372265)
(0.124463,0.113053)
(0.875481,0.105742)
(0.293919,-0.363875)
(0.446964,0.367947)
(0.793852,-0.296198)
(0.101699,-0.00409698)
(0.820036,0.21137)
(0.40008,-0.410364)
(0.326886,0.340154)
(0.861467,-0.188821)
(0.114197,-0.119364)
(0.734752,0.302296)
(0.522919,-0.416223)
(0.229332,0.274609)
(0.894639,-0.0704663)
(0.161684,-0.225318)
(0.628938,0.361073)
(0.639697,-0.387106)
(0.15573,0.187185)
(0.897772,0.0533537)
(0.241508,-0.317987)
(0.508272,0.384347)
(0.746305,-0.323874)
(0.113819,0.073712)
(0.855183,0.168325)
(0.342124,-0.376531)
(0.38908,0.369077)
(0.821287,-0.234015)
(0.102781,-0.0363833)
(0.78646,0.271209)
(0.455363,-0.401185)
(0.28289,0.329358)
(0.880873,-0.123928)
(0.13083,-0.154407)
(0.688609,0.345907)
(0.573262,-0.393289)
(0.190999,0.25447)
(0.899412,0)
(0.190999,-0.25447)
(0.573261,0.393289)
(0.688609,-0.345907)
(0.13083,0.154406)
(0.880873,0.123928)
(0.28289,-0.329358)
(0.455363,0.401185)
(0.78646,-0.271209)
(0.10278,0.0363833)
(0.821286,0.234016)
(0.389081,-0.369077)
(0.342124,0.376531)
(0.855183,-0.168325)
(0.113819,-0.073712)
(0.746304,0.323874)
(0.508272,-0.384347)
(0.241508,0.317987)
(0.897771,-0.0533536)
(0.15573,-0.187185)
(0.639696,0.387106)
(0.628937,-0.361073)
(0.161683,0.225319)
(0.894639,0.0704666)
(0.229332,-0.27461)
(0.522919,0.416222)
(0.734752,-0.302295)
(0.114197,0.119364)
(0.861467,0.188821)
(0.326886,-0.340154)
(0.400079,0.410364)
(0.820035,-0.21137)
(0.101699,0.0040965)
(0.793851,0.296198)
(0.446964,-0.367946)
(0.293918,0.363874)
(0.87548,-0.105741)
(0.124462,-0.113054)
(0.695224,0.372265)
(0.561282,-0.359391)
(0.203279,0.293703)
